player,player_id,position,team_name,grades_offense,grades_run_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Jonathan Goodwin,1146,C,SF,78.8,76.6,1171,33.0,2014,1476,Jonathan Goodwin,2014,35,1,"$1,020,000",1020000
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2014,1576,Andy Levitre,2014,27,6,"$46,800,000",7800000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2014,1435,Donald Penn,2014,30,2,"$9,600,000",4800000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2014,1399,Branden Albert,2014,29,5,"$47,000,000",9400000
Todd Herremans,2343,T,PHI,77.9,85.9,529,40.0,2014,1916,Todd Herremans,2014,31,3,"$18,000,000",6000000
Tyson Clabo,2011,T,ATL,77.9,82.3,1179,40.0,2014,1554,Tyson Clabo,2014,32,2,"$2,400,000",1200000
Will Montgomery,3179,C,WAS,77.7,74.3,1082,43.0,2014,1559,Will Montgomery,2014,31,1,"$1,325,000",1325000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2014,1660,John Greco,2014,29,4,"$6,420,000",1605000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2014,1987,Josh Sitton,2014,28,5,"$33,750,000",6750000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2014,2095,Jahri Evans,2014,30,7,"$56,700,000",8100000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2014,1525,Rodger Saffold,2014,25,5,"$42,500,000",8500000
Chris Chester,3001,G,WAS,76.7,72.7,1088,49.0,2014,1949,Chris Chester,2014,31,5,"$20,000,000",4000000
Chris Snee,1755,G,NYG,76.4,75.9,952,50.0,2014,2168,Chris Snee,2014,31,6,"$42,500,000",7083333
Sebastian Vollmer,4981,T,NE,76.3,74.3,1248,52.0,2014,1716,Sebastian Vollmer,2014,29,4,"$16,750,000",4187500
Fernando Velasco,4641,C,TEN,75.8,73.7,995,54.0,2014,1445,Fernando Velasco,2014,29,1,"$795,000",795000
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2014,1714,Sam Baker,2014,28,6,"$41,100,000",6850000
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2014,1499,Maurkice Pouncey,2014,24,5,"$44,136,625",8827325
Wade Smith,1393,G,HST,74.9,72.9,1270,59.0,2014,1558,Wade Smith,2014,33,1,"$1,015,000",1015000
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2014,1638,Gosder Cherilus,2014,29,5,"$35,000,000",7000000
Zane Beadles,5570,G,DEN,74.2,72.1,1236,62.0,2014,1566,Zane Beadles,2014,27,5,"$30,000,000",6000000
Nate Livings,3400,G,DAL,73.7,78.2,1094,65.0,2014,1869,Nate Livings,2014,31,5,"$18,750,000",3750000
David Baas,2250,C,NYG,73.4,76.3,1003,67.0,2014,1959,David Baas,2014,32,5,"$27,500,000",5500000
Dominic Raiola,820,C,DET,73.1,67.7,1199,68.0,2014,1434,Dominic Raiola,2014,35,1,"$1,500,000",1500000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2014,1441,Eric Winston,2014,30,1,"$1,015,000",1015000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2014,1396,Austin Howard,2014,26,5,"$30,000,000",6000000
Louis Vasquez,5001,G,LAC,72.9,63.7,1020,71.0,2014,1680,Louis Vasquez,2014,26,4,"$23,500,000",5875000
Jeromey Clary,3132,T,LAC,72.8,71.9,833,73.0,2014,1469,Jeromey Clary,2014,30,1,"$1,600,000",1600000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2014,1675,Kraig Urbik,2014,28,4,"$14,600,000",3650000
Harvey Dahl,2553,G,LA,72.6,69.8,915,75.0,2014,1640,Harvey Dahl,2014,32,2,"$6,750,000",3375000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2014,1673,King Dunlap,2014,28,2,"$3,700,000",1850000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2014,1653,Jermon Bushrod,2014,29,5,"$35,965,000",7193000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2014,1497,Matt Slauson,2014,27,4,"$12,800,000",3200000
David Stewart,2330,T,TEN,71.6,69.1,675,80.0,2014,2269,David Stewart,2014,31,7,"$36,883,000",5269000
Dan Connolly,2540,G,NE,71.1,68.7,1039,82.0,2014,1781,Dan Connolly,2014,31,3,"$9,750,000",3250000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2014,1699,Ramon Foster,2014,28,3,"$5,500,000",1833333
Robert Turner,4085,C,LA,70.0,64.7,1044,87.0,2014,1523,Robert Turner,2014,29,1,"$730,000",730000
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2014,1452,J'Marcus Webb,2014,25,1,"$730,000",730000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2014,1444,Evan Smith,2014,27,4,"$14,250,000",3562500
Manuel Ramirez,3733,G,DEN,69.4,65.2,829,89.0,2014,1682,Manuel Ramirez,2014,31,2,"$3,150,000",1575000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2014,1468,Jeremy Zuttah,2014,27,3,"$12,250,000",4083333
Samson Satele,3676,C,IND,68.6,74.6,720,95.0,2014,1533,Samson Satele,2014,29,1,"$2,000,000",2000000
Willie Colon,3076,G,PIT,68.5,70.7,711,96.0,2014,1563,Willie Colon,2014,30,1,"$2,000,000",2000000
Uche Nwaneri,3765,G,JAX,68.5,69.4,926,96.0,2014,1555,Uche Nwaneri,2014,30,1,"$920,000",920000
Eric Wood,4951,C,BUF,68.5,61.3,872,96.0,2014,1442,Eric Wood,2014,27,4,"$25,400,000",6350000
Justin Blalock,3655,G,ATL,68.3,62.8,1189,99.0,2014,1988,Justin Blalock,2014,30,6,"$38,400,000",6400000
John Moffitt,6227,G,SEA,68.2,66.2,461,101.0,2014,1984,John Moffitt,2014,27,4,"$2,895,000",723750
Dallas Reynolds,5241,C,PHI,68.2,68.0,991,101.0,2014,1424,Dallas Reynolds,2014,29,1,"$570,000",570000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2014,1616,Demar Dotson,2014,28,3,"$4,500,000",1500000
Jake Long,4315,T,MIA,67.7,66.0,730,104.0,2014,1643,Jake Long,2014,28,4,"$34,000,000",8500000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2014,1911,T.J. Lang,2014,26,4,"$20,800,000",5200000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2014,1492,Marshall Newhouse,2014,25,1,"$805,000",805000
Tyronne Green,5057,G,LAC,66.8,63.5,735,108.0,2014,1553,Tyronne Green,2014,28,1,"$730,000",730000
Michael Oher,4946,T,BLT,66.7,58.0,1340,109.0,2014,1502,Michael Oher,2014,27,4,"$20,000,000",5000000
Paul McQuistan,3014,G,SEA,66.6,64.5,1130,110.0,2014,1516,Paul McQuistan,2014,30,2,"$3,000,000",1500000
Gabe Carimi,6181,T,CHI,66.5,83.3,915,112.0,2014,1446,Gabe Carimi,2014,25,1,"$850,000",850000
Daryn Colledge,2992,G,ARZ,66.5,61.6,1052,112.0,2014,1426,Daryn Colledge,2014,32,1,"$2,000,000",2000000
Garry Williams,5341,G,CAR,66.4,67.0,606,114.0,2014,1448,Garry Williams,2014,27,1,"$780,000",780000
Steve Hutchinson,787,G,TEN,66.1,64.2,686,116.0,2014,1909,Steve Hutchinson,2014,36,3,"$16,750,000",5583333
Lyle Sendlein,4062,C,ARZ,65.7,57.9,756,117.0,2014,2000,Lyle Sendlein,2014,30,5,"$16,250,000",3250000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2014,1674,Kory Lichtensteiger,2014,28,5,"$17,500,000",3500000
Nick Hardwick,1787,C,LAC,65.4,64.3,1019,119.0,2014,1871,Nick Hardwick,2014,32,3,"$13,250,000",4416667
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2014,1489,Mackenzy Bernadeau,2014,27,2,"$3,100,000",1550000
Roberto Garza,856,C,CHI,64.8,60.6,1046,122.0,2014,1524,Roberto Garza,2014,34,1,"$1,500,000",1500000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2014,1544,Ted Larsen,2014,26,2,"$2,600,000",1300000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2014,1474,John Jerry,2014,27,1,"$795,000",795000
Winston Justice,2984,T,IND,64.1,63.8,798,125.0,2014,1564,Winston Justice,2014,29,1,"$1,175,000",1175000
Charlie Johnson,3144,G,MIN,63.8,61.7,1093,126.0,2014,1414,Charlie Johnson,2014,29,2,"$5,000,000",2500000
Scott Wells,1965,C,LA,63.8,59.8,421,126.0,2014,1535,Scott Wells,2014,32,2,"$7,250,000",3625000
Lance Louis,5170,G,CHI,63.7,57.1,692,128.0,2014,1487,Lance Louis,2014,28,2,"$1,475,000",737500
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2014,1402,Breno Giacomini,2014,28,4,"$18,000,000",4500000
Jamon Meredith,5086,G,TB,63.2,63.9,795,133.0,2014,1458,Jamon Meredith,2014,27,2,"$3,000,000",1500000
Shawn Lauvao,5616,G,CLV,62.9,61.8,1031,136.0,2014,1536,Shawn Lauvao,2014,26,4,"$17,000,000",4250000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2014,1623,Doug Free,2014,29,2,"$7,000,000",3500000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2014,1565,Zach Strief,2014,30,5,"$20,000,000",4000000
Max Starks,1796,T,PIT,62.5,54.6,1065,140.0,2014,1500,Max Starks,2014,32,1,"$855,000",855000
Cameron Bradfield,6591,T,JAX,61.8,58.5,750,143.0,2014,1410,Cameron Bradfield,2014,26,2,"$3,000,000",1500000
Tyler Polumbus,4581,T,WAS,61.6,66.7,992,144.0,2014,1733,Tyler Polumbus,2014,28,2,"$2,000,000",1000000
Byron Bell,6848,T,CAR,61.2,59.6,943,145.0,2014,1408,Byron Bell,2014,25,1,"$2,187,000",2187000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2014,1486,Khalif Barnes,2014,26,1,"$1,200,000",1200000
Mike Brisiel,3250,G,LV,60.3,61.1,961,147.0,2014,1862,Mike Brisiel,2014,31,5,"$20,000,000",4000000
Jeff Linkenbach,5964,G,IND,59.4,58.1,856,149.0,2014,1466,Jeff Linkenbach,2014,26,1,"$900,000",900000
Mike McGlynn,4423,G,IND,59.4,58.3,1258,149.0,2014,1506,Mike McGlynn,2014,29,2,"$2,700,000",1350000
Adam Snyder,2311,G,ARZ,55.2,51.5,866,155.0,2014,1384,Adam Snyder,2014,31,1,"$855,000",855000
Geoff Hangartner,2386,C,CAR,54.8,51.5,756,156.0,2014,1806,Geoff Hangartner,2014,31,3,"$4,850,000",1616667
Evan Mathis,2296,G,PHI,92.8,92.9,1124,1.0,2013,1802,Evan Mathis,2013,31,5,"$25,500,000",5100000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2013,1828,Joe Staley,2013,25,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2013,1797,Duane Brown,2013,27,6,"$53,400,000",8900000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2013,1687,Max Unger,2013,26,4,"$25,835,000",6458750
Logan Mankins,2249,G,NE,84.9,88.8,895,5.0,2013,1999,Logan Mankins,2013,31,6,"$51,000,000",8500000
Ryan Wendell,4602,C,NE,84.9,86.8,1383,5.0,2013,2033,Ryan Wendell,2013,27,3,"$2,490,000",830000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2013,2014,Nick Mangold,2013,28,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2013,1830,John Sullivan,2013,27,5,"$24,500,000",4900000
Brian De La Puente,4679,C,NO,84.4,83.4,1107,9.0,2013,1588,Brian De La Puente,2013,27,1,"$2,023,000",2023000
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2013,2003,Marshal Yanda,2013,28,5,"$32,000,000",6400000
Chris Myers,2417,C,HST,84.0,79.9,1284,11.0,2013,1768,Chris Myers,2013,31,4,"$25,000,000",6250000
Michael Roos,2258,T,TEN,83.3,72.4,935,13.0,2013,2299,Michael Roos,2013,30,6,"$43,000,000",7166667
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2013,1935,Alex Boone,2013,26,4,"$6,540,000",1635000
Matt Birk,404,C,BLT,82.2,83.3,1299,15.0,2013,1853,Matt Birk,2013,36,3,"$8,525,000",2841667
Ryan Lilja,2105,C,KC,82.1,83.9,990,16.0,2013,1712,Ryan Lilja,2013,31,1,"$2,171,875",2171875
Ben Grubbs,3645,G,NO,81.6,80.4,1107,18.0,2013,1752,Ben Grubbs,2013,29,5,"$36,000,000",7200000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2013,1574,Andre Smith,2013,26,3,"$18,000,000",6000000
Ryan Clady,4326,T,DEN,81.1,68.7,1206,20.0,2013,1708,Ryan Clady,2013,26,5,"$52,500,000",10500000
Jordan Gross,1324,T,CAR,80.9,80.4,1024,22.0,2013,1663,Jordan Gross,2013,32,1,"$5,500,000",5500000
Kevin Boothe,3121,G,NYG,80.7,81.0,1012,23.0,2013,1669,Kevin Boothe,2013,29,1,"$905,000",905000
Brandon Moore,1284,G,NYJ,80.2,77.9,1063,27.0,2013,1585,Brandon Moore,2013,33,1,"$1,750,000",1750000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2013,1982,Joe Thomas,2013,28,7,"$80,500,000",11500000
D'Brickashaw Ferguson,2949,T,NYJ,79.0,68.8,1074,32.0,2013,2078,D'Brickashaw Ferguson,2013,29,6,"$60,000,000",10000000
Jonathan Goodwin,1146,C,SF,78.8,76.6,1171,33.0,2013,1985,Jonathan Goodwin,2013,34,3,"$10,900,000",3633333
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2013,1576,Andy Levitre,2013,26,6,"$46,800,000",7800000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2013,2086,Donald Penn,2013,29,6,"$41,700,000",6950000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2013,1583,Branden Albert,2013,28,1,"$9,828,000",9828000
Todd Herremans,2343,T,PHI,77.9,85.9,529,40.0,2013,1916,Todd Herremans,2013,30,3,"$18,000,000",6000000
Tyson Clabo,2011,T,ATL,77.9,82.3,1179,40.0,2013,1735,Tyson Clabo,2013,31,1,"$3,500,000",3500000
Will Montgomery,3179,C,WAS,77.7,74.3,1082,43.0,2013,1930,Will Montgomery,2013,30,4,"$12,000,000",3000000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2013,1660,John Greco,2013,28,4,"$6,420,000",1605000
Rob Sims,3073,G,DET,77.5,72.5,1199,45.0,2013,2135,Rob Sims,2013,29,4,"$14,200,000",3550000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2013,1987,Josh Sitton,2013,27,5,"$33,750,000",6750000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2013,2095,Jahri Evans,2013,29,7,"$56,700,000",8100000
Chris Chester,3001,G,WAS,76.7,72.7,1088,49.0,2013,1949,Chris Chester,2013,30,5,"$20,000,000",4000000
Chris Snee,1755,G,NYG,76.4,75.9,952,50.0,2013,2168,Chris Snee,2013,30,6,"$42,500,000",7083333
Stephen Peterman,1804,G,DET,76.4,81.2,1199,50.0,2013,1719,Stephen Peterman,2013,31,1,"$905,000",905000
Sebastian Vollmer,4981,T,NE,76.3,74.3,1248,52.0,2013,1716,Sebastian Vollmer,2013,28,4,"$16,750,000",4187500
Fernando Velasco,4641,C,TEN,75.8,73.7,995,54.0,2013,1633,Fernando Velasco,2013,28,1,"$2,023,000",2023000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2013,2254,Andrew Whitworth,2013,31,6,"$24,635,000",4105833
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2013,1714,Sam Baker,2013,27,6,"$41,100,000",6850000
Wade Smith,1393,G,HST,74.9,72.9,1270,59.0,2013,2153,Wade Smith,2013,31,4,"$12,000,000",3000000
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2013,1638,Gosder Cherilus,2013,28,5,"$35,000,000",7000000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2013,2024,Richie Incognito,2013,29,3,"$12,900,000",4300000
Nate Livings,3400,G,DAL,73.7,78.2,1094,65.0,2013,1869,Nate Livings,2013,30,5,"$18,750,000",3750000
David Baas,2250,C,NYG,73.4,76.3,1003,67.0,2013,1959,David Baas,2013,31,5,"$27,500,000",5500000
Dominic Raiola,820,C,DET,73.1,67.7,1199,68.0,2013,2085,Dominic Raiola,2013,33,4,"$20,000,000",5000000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2013,1630,Eric Winston,2013,29,1,"$1,250,000",1250000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2013,1578,Austin Howard,2013,25,1,"$2,023,000",2023000
Louis Vasquez,5001,G,LAC,72.9,63.7,1020,71.0,2013,1680,Louis Vasquez,2013,25,4,"$23,500,000",5875000
Jeromey Clary,3132,T,LAC,72.8,71.9,833,73.0,2013,1980,Jeromey Clary,2013,29,4,"$20,000,000",5000000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2013,1675,Kraig Urbik,2013,27,4,"$14,600,000",3650000
Harvey Dahl,2553,G,LA,72.6,69.8,915,75.0,2013,1640,Harvey Dahl,2013,31,2,"$6,750,000",3375000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2013,1673,King Dunlap,2013,27,2,"$3,700,000",1850000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2013,1653,Jermon Bushrod,2013,28,5,"$35,965,000",7193000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2013,1685,Matt Slauson,2013,27,1,"$815,000",815000
David Stewart,2330,T,TEN,71.6,69.1,675,80.0,2013,2269,David Stewart,2013,30,7,"$36,883,000",5269000
Dan Connolly,2540,G,NE,71.1,68.7,1039,82.0,2013,1781,Dan Connolly,2013,30,3,"$9,750,000",3250000
Cooper Carlisle,658,G,LV,71.1,65.8,1076,82.0,2013,2169,Cooper Carlisle,2013,35,5,"$15,100,000",3020000
Barry Richardson,4484,T,LA,70.7,73.3,1023,85.0,2013,1579,Barry Richardson,2013,27,1,"$715,000",715000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2013,1699,Ramon Foster,2013,27,3,"$5,500,000",1833333
Robert Turner,4085,C,LA,70.0,64.7,1044,87.0,2013,1705,Robert Turner,2013,28,1,"$1,500,000",1500000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2013,1632,Evan Smith,2013,26,1,"$1,323,000",1323000
Manuel Ramirez,3733,G,DEN,69.4,65.2,829,89.0,2013,1682,Manuel Ramirez,2013,30,2,"$3,150,000",1575000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2013,1826,Jeremy Zuttah,2013,26,4,"$16,500,000",4125000
Ryan Cook,2996,C,DAL,68.8,69.2,813,94.0,2013,1896,Ryan Cook,2013,29,2,"$2,100,000",1050000
Samson Satele,3676,C,IND,68.6,74.6,720,95.0,2013,1901,Samson Satele,2013,28,3,"$10,800,000",3600000
Willie Colon,3076,G,PIT,68.5,70.7,711,96.0,2013,1738,Willie Colon,2013,29,1,"$1,162,500",1162500
Uche Nwaneri,3765,G,JAX,68.5,69.4,926,96.0,2013,2152,Uche Nwaneri,2013,28,6,"$25,101,000",4183500
Justin Blalock,3655,G,ATL,68.3,62.8,1189,99.0,2013,1988,Justin Blalock,2013,29,6,"$38,400,000",6400000
Jeff Backus,788,T,DET,68.3,51.5,1064,99.0,2013,1822,Jeff Backus,2013,35,2,"$5,850,000",2925000
John Moffitt,6227,G,SEA,68.2,66.2,461,101.0,2013,1984,John Moffitt,2013,26,4,"$2,895,000",723750
Dallas Reynolds,5241,C,PHI,68.2,68.0,991,101.0,2013,1608,Dallas Reynolds,2013,28,1,"$480,000",480000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2013,1616,Demar Dotson,2013,27,3,"$4,500,000",1500000
Jake Long,4315,T,MIA,67.7,66.0,730,104.0,2013,1643,Jake Long,2013,27,4,"$34,000,000",8500000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2013,1911,T.J. Lang,2013,25,4,"$20,800,000",5200000
Tyronne Green,5057,G,LAC,66.8,63.5,735,108.0,2013,1734,Tyronne Green,2013,27,1,"$735,000",735000
Paul McQuistan,3014,G,SEA,66.6,64.5,1130,110.0,2013,1877,Paul McQuistan,2013,29,2,"$5,000,000",2500000
Dan Koppen,1471,C,DEN,66.6,57.4,981,110.0,2013,1611,Dan Koppen,2013,33,1,"$915,000",915000
Daryn Colledge,2992,G,ARZ,66.5,61.6,1052,112.0,2013,1958,Daryn Colledge,2013,31,5,"$27,500,000",5500000
Garry Williams,5341,G,CAR,66.4,67.0,606,114.0,2013,1969,Garry Williams,2013,27,3,"$2,041,667",680556
Steve Hutchinson,787,G,TEN,66.1,64.2,686,116.0,2013,1909,Steve Hutchinson,2013,35,3,"$16,750,000",5583333
Lyle Sendlein,4062,C,ARZ,65.7,57.9,756,117.0,2013,2000,Lyle Sendlein,2013,29,5,"$16,250,000",3250000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2013,1674,Kory Lichtensteiger,2013,27,5,"$17,500,000",3500000
Nick Hardwick,1787,C,LAC,65.4,64.3,1019,119.0,2013,1871,Nick Hardwick,2013,31,3,"$13,250,000",4416667
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2013,1848,Mackenzy Bernadeau,2013,27,4,"$11,500,000",2875000
Roberto Garza,856,C,CHI,64.8,60.6,1046,122.0,2013,1893,Roberto Garza,2013,33,2,"$6,550,000",3275000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2013,2104,John Jerry,2013,27,4,"$2,648,500",662125
Winston Justice,2984,T,IND,64.1,63.8,798,125.0,2013,1740,Winston Justice,2013,29,1,"$840,000",840000
Charlie Johnson,3144,G,MIN,63.8,61.7,1093,126.0,2013,1948,Charlie Johnson,2013,29,3,"$10,500,000",3500000
Scott Wells,1965,C,LA,63.8,59.8,421,126.0,2013,1903,Scott Wells,2013,32,4,"$24,000,000",6000000
Lance Louis,5170,G,CHI,63.7,57.1,692,128.0,2013,1677,Lance Louis,2013,27,1,"$1,603,750",1603750
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2013,1755,Breno Giacomini,2013,27,2,"$6,500,000",3250000
Jamon Meredith,5086,G,TB,63.2,63.9,795,133.0,2013,1819,Jamon Meredith,2013,26,2,"$1,600,000",800000
Brad Meester,627,C,JAX,63.2,56.8,1062,133.0,2013,1581,Brad Meester,2013,35,1,"$1,500,000",1500000
Sean Locklear,1805,T,NYG,62.8,60.5,647,137.0,2013,1715,Sean Locklear,2013,32,1,"$840,000",840000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2013,1623,Doug Free,2013,28,2,"$7,000,000",3500000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2013,2056,Zach Strief,2013,29,3,"$5,750,000",1916667
Jeff Saturday,431,C,GB,62.5,50.5,962,140.0,2013,1824,Jeff Saturday,2013,37,2,"$7,750,000",3875000
Max Starks,1796,T,PIT,62.5,54.6,1065,140.0,2013,1686,Max Starks,2013,31,1,"$2,000,000",2000000
Tyler Polumbus,4581,T,WAS,61.6,66.7,992,144.0,2013,1733,Tyler Polumbus,2013,27,2,"$2,000,000",1000000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2013,1672,Khalif Barnes,2013,30,1,"$915,000",915000
Mike Brisiel,3250,G,LV,60.3,61.1,961,147.0,2013,1862,Mike Brisiel,2013,30,5,"$20,000,000",4000000
Jeff Linkenbach,5964,G,IND,59.4,58.1,856,149.0,2013,1650,Jeff Linkenbach,2013,25,1,"$1,323,000",1323000
Mike McGlynn,4423,G,IND,59.4,58.3,1258,149.0,2013,1864,Mike McGlynn,2013,28,2,"$2,650,000",1325000
Chilo Rachal,4353,G,CHI,55.6,58.3,512,154.0,2013,1595,Chilo Rachal,2013,27,1,"$715,000",715000
Adam Snyder,2311,G,ARZ,55.2,51.5,866,155.0,2013,1568,Adam Snyder,2013,31,2,"$2,450,000",1225000
Geoff Hangartner,2386,C,CAR,54.8,51.5,756,156.0,2013,1636,Geoff Hangartner,2013,30,1,"$840,000",840000
Jeff Faine,1337,C,CIN,53.3,45.4,456,158.0,2013,2285,Jeff Faine,2013,31,6,"$37,500,000",6250000
D'Anthony Batiste,3223,T,ARZ,45.6,57.8,626,159.0,2013,1606,D'Anthony Batiste,2013,31,1,"$840,000",840000
Evan Mathis,2296,G,PHI,92.8,92.9,1124,1.0,2012,1802,Evan Mathis,2012,30,5,"$25,500,000",5100000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2012,1828,Joe Staley,2012,24,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2012,1797,Duane Brown,2012,26,6,"$53,400,000",8900000
Logan Mankins,2249,G,NE,84.9,88.8,895,5.0,2012,1999,Logan Mankins,2012,30,6,"$51,000,000",8500000
Ryan Wendell,4602,C,NE,84.9,86.8,1383,5.0,2012,2033,Ryan Wendell,2012,26,3,"$2,490,000",830000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2012,2014,Nick Mangold,2012,27,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2012,1830,John Sullivan,2012,26,5,"$24,500,000",4900000
Brian De La Puente,4679,C,NO,84.4,83.4,1107,9.0,2012,1756,Brian De La Puente,2012,26,1,"$540,000",540000
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2012,2003,Marshal Yanda,2012,27,5,"$32,000,000",6400000
Chris Myers,2417,C,HST,84.0,79.9,1284,11.0,2012,1768,Chris Myers,2012,30,4,"$25,000,000",6250000
Michael Roos,2258,T,TEN,83.3,72.4,935,13.0,2012,2299,Michael Roos,2012,29,6,"$43,000,000",7166667
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2012,1935,Alex Boone,2012,25,4,"$6,540,000",1635000
Matt Birk,404,C,BLT,82.2,83.3,1299,15.0,2012,1853,Matt Birk,2012,35,3,"$8,525,000",2841667
Ryan Lilja,2105,C,KC,82.1,83.9,990,16.0,2012,2141,Ryan Lilja,2012,30,3,"$7,500,000",2500000
Ben Grubbs,3645,G,NO,81.6,80.4,1107,18.0,2012,1752,Ben Grubbs,2012,28,5,"$36,000,000",7200000
Jordan Gross,1324,T,CAR,80.9,80.4,1024,22.0,2012,2202,Jordan Gross,2012,31,6,"$56,400,000",9400000
Kevin Boothe,3121,G,NYG,80.7,81.0,1012,23.0,2012,1990,Kevin Boothe,2012,28,2,"$3,750,000",1875000
Brandon Moore,1284,G,NYJ,80.2,77.9,1063,27.0,2012,2163,Brandon Moore,2012,31,4,"$16,000,000",4000000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2012,1982,Joe Thomas,2012,27,7,"$80,500,000",11500000
Anthony Davis,5536,T,SF,80.1,85.7,1198,28.0,2012,1749,Anthony Davis,2012,31,1,"$700,000",700000
D'Brickashaw Ferguson,2949,T,NYJ,79.0,68.8,1074,32.0,2012,2078,D'Brickashaw Ferguson,2012,28,6,"$60,000,000",10000000
Jonathan Goodwin,1146,C,SF,78.8,76.6,1171,33.0,2012,1985,Jonathan Goodwin,2012,33,3,"$10,900,000",3633333
